880,560,0;880,619,0;880,678,0;
880,558,0;880,617,0;880,676,0;
880,556,0;880,615,0;880,674,0;
880,554,0;880,613,0;880,672,0;
880,552,0;880,611,0;880,670,0;
880,550,0;880,609,0;880,668,0;
880,548,0;880,607,0;880,666,0;
880,546,0;880,605,0;880,664,0;
880,544,0;880,603,0;880,662,0;
880,542,0;880,601,0;880,660,0;
880,540,0;880,599,0;880,658,0;
880,538,0;880,597,0;880,656,0;
880,536,0;880,595,0;880,654,0;
880,534,0;880,593,0;880,652,0;
880,532,0;880,591,0;880,650,0;
880,530,0;880,589,0;880,648,0;
880,528,0;880,587,0;880,646,0;
880,526,0;880,585,0;880,644,0;
880,524,0;880,583,0;880,642,0;
880,522,0;880,581,0;880,640,0;
880,520,0;880,579,0;880,638,0;
880,518,0;880,577,0;880,636,0;
880,516,0;880,575,0;880,634,0;
880,514,0;880,573,0;880,632,0;
880,512,0;880,571,0;880,630,0;
880,510,0;880,569,0;880,628,0;
880,508,0;880,567,0;880,626,0;
880,506,0;880,565,0;880,624,0;
880,504,0;880,563,0;880,622,0;
880,502,0;880,561,0;880,620,0;
880,500,0;880,559,0;880,618,0;
880,498,0;880,557,0;880,616,0;
880,496,0;880,555,0;880,614,0;
880,494,0;880,553,0;880,612,0;
880,492,0;880,551,0;880,610,0;
880,490,0;880,549,0;880,608,0;
880,488,0;880,547,0;880,606,0;
880,486,0;880,545,0;880,604,0;
880,484,0;880,543,0;880,602,0;
880,482,0;880,541,0;880,600,0;
880,480,0;880,539,0;880,598,0;
880,478,0;880,537,0;880,596,0;
880,476,0;880,535,0;880,594,0;
880,474,0;880,533,0;880,592,0;
880,472,0;880,531,0;880,590,0;
880,470,0;880,529,0;880,588,0;
880,468,0;880,527,0;880,586,0;
880,466,0;880,525,0;880,584,0;
880,464,0;880,523,0;880,582,0;
880,462,0;880,521,0;880,580,0;
880,460,0;880,519,0;880,578,0;
880,458,0;880,517,0;880,576,0;
880,456,0;880,515,0;880,574,0;
880,454,0;880,513,0;880,572,0;
880,452,0;880,511,0;880,570,0;
880,450,0;880,509,0;880,568,0;
880,448,0;880,507,0;880,566,0;
880,446,0;880,505,0;880,564,0;
880,444,0;880,503,0;880,562,0;
880,442,0;880,501,0;880,560,0;
880,440,0;880,499,0;880,558,0;
880,438,0;880,497,0;880,556,0;
880,436,0;880,495,0;880,554,0;
880,434,0;880,493,0;880,552,0;
880,432,0;880,491,0;880,550,0;
880,430,0;880,489,0;880,548,0;
880,428,0;880,487,0;880,546,0;
880,426,0;880,485,0;880,544,0;
880,424,0;880,483,0;880,542,0;
880,422,0;880,481,0;880,540,0;
880,420,0;880,479,0;880,538,0;
880,418,0;880,477,0;880,536,0;
880,416,0;880,475,0;880,534,0;
880,414,0;880,473,0;880,532,0;
880,412,0;880,471,0;880,530,0;
880,410,0;880,469,0;880,528,0;
880,408,0;880,467,0;880,526,0;
880,406,0;880,465,0;880,524,0;
880,404,0;880,463,0;880,522,0;
880,402,0;880,461,0;880,520,0;
880,400,0;880,459,0;880,518,0;
880,398,0;880,457,0;880,516,0;
880,396,0;880,455,0;880,514,0;
880,394,0;880,453,0;880,512,0;
880,392,0;880,451,0;880,510,0;
880,390,0;880,449,0;880,508,0;
880,388,0;880,447,0;880,506,0;
880,386,0;880,445,0;880,504,0;
880,384,0;880,443,0;880,502,0;
880,382,0;880,441,0;880,500,0;
880,380,0;880,439,0;880,498,0;
880,378,0;880,437,0;880,496,0;
880,376,0;880,435,0;880,494,0;
880,374,0;880,433,0;880,492,0;
880,372,0;880,431,0;880,490,0;
880,370,0;880,429,0;880,488,0;
880,368,0;880,427,0;880,486,0;
880,366,0;880,425,0;880,484,0;
880,364,0;880,423,0;880,482,0;
880,362,0;880,421,0;880,480,0;
880,360,0;880,419,0;880,478,0;
880,358,0;880,417,0;880,476,0;
880,356,0;880,415,0;880,474,0;
880,354,0;880,413,0;880,472,0;
880,352,0;880,411,0;880,470,0;
880,350,0;880,409,0;880,468,0;
880,348,0;880,407,0;880,466,0;
880,346,0;880,405,0;880,464,0;
880,344,0;880,403,0;880,462,0;
880,342,0;880,401,0;880,460,0;
880,340,0;880,399,0;880,458,0;
880,338,0;880,397,0;880,456,0;
880,336,0;880,395,0;880,454,0;
880,334,0;880,393,0;880,452,0;
880,332,0;880,391,0;880,450,0;
880,330,0;880,389,0;880,448,0;
880,328,0;880,387,0;880,446,0;
880,326,0;880,385,0;880,444,0;
880,324,0;880,383,0;880,442,0;
880,322,0;880,381,0;880,440,0;
880,320,0;880,379,0;880,438,0;
880,318,0;880,377,0;880,436,0;
880,316,0;880,375,0;880,434,0;
880,314,0;880,373,0;880,432,0;
880,312,0;880,371,0;880,430,0;
880,310,0;880,369,0;880,428,0;
880,308,0;880,367,0;880,426,0;
880,306,0;880,365,0;880,424,0;
880,304,0;880,363,0;880,422,0;
880,302,0;880,361,0;880,420,0;
880,300,0;880,359,0;880,418,0;
880,298,0;880,357,0;880,416,0;
880,296,0;880,355,0;880,414,0;
880,294,0;880,353,0;880,412,0;
880,292,0;880,351,0;880,410,0;
880,290,0;880,349,0;880,408,0;
880,288,0;880,347,0;880,406,0;
880,286,0;880,345,0;880,404,0;
880,284,0;880,343,0;880,402,0;
880,282,0;880,341,0;880,400,0;
880,280,0;880,339,0;880,398,0;
880,278,0;880,337,0;880,396,0;
880,276,0;880,335,0;880,394,0;
880,274,0;880,333,0;880,392,0;
880,272,0;880,331,0;880,390,0;
880,270,0;880,329,0;880,388,0;
880,268,0;880,327,0;880,386,0;
880,266,0;880,325,0;880,384,0;
880,264,0;880,323,0;880,382,0;
880,262,0;880,321,0;880,380,0;
880,260,0;880,319,0;880,378,0;
880,258,0;880,317,0;880,376,0;
880,256,0;880,315,0;880,374,0;
880,254,0;880,313,0;880,372,0;
880,252,0;880,311,0;880,370,0;
880,250,0;880,309,0;880,368,0;
880,248,0;880,307,0;880,366,0;
880,246,0;880,305,0;880,364,0;
880,244,0;880,303,0;880,362,0;
880,242,0;880,301,0;880,360,0;
880,240,0;880,299,0;880,358,0;
880,238,0;880,297,0;880,356,0;
880,236,0;880,295,0;880,354,0;
880,234,0;880,293,0;880,352,0;
880,232,0;880,291,0;880,350,0;
880,230,0;880,289,0;880,348,0;
880,228,0;880,287,0;880,346,0;
880,226,0;880,285,0;880,344,0;
880,224,0;880,283,0;880,342,0;
880,222,0;880,281,0;880,340,0;
880,220,0;880,279,0;880,338,0;
880,218,0;880,277,0;880,336,0;
880,216,0;880,275,0;880,334,0;
880,214,0;880,273,0;880,332,0;
880,212,0;880,271,0;880,330,0;
880,210,0;880,269,0;880,328,0;
880,208,0;880,267,0;880,326,0;
880,206,0;880,265,0;880,324,0;
880,204,0;880,263,0;880,322,0;
880,202,0;880,261,0;880,320,0;
880,200,0;880,259,0;880,318,0;
880,198,0;880,257,0;880,316,0;
880,196,0;880,255,0;880,314,0;
880,194,0;880,253,0;880,312,0;
880,192,0;880,251,0;880,310,0;
880,190,0;880,249,0;880,308,0;
880,188,0;880,247,0;880,306,0;
880,186,0;880,245,0;880,304,0;
880,184,0;880,243,0;880,302,0;
880,182,0;880,241,0;880,300,0;
880,180,0;880,239,0;880,298,0;
880,178,0;880,237,0;880,296,0;
880,176,0;880,235,0;880,294,0;
880,174,0;880,233,0;880,292,0;
880,172,0;880,231,0;880,290,0;
880,170,0;880,229,0;880,288,0;
880,168,0;880,227,0;880,286,0;
880,166,0;880,225,0;880,284,0;
880,164,0;880,223,0;880,282,0;
880,162,0;880,221,0;880,280,0;
880,160,0;880,219,0;880,278,0;
880,158,0;880,217,0;880,276,0;
880,156,0;880,215,0;880,274,0;
880,154,0;880,213,0;880,272,0;
880,152,0;880,211,0;880,270,0;
880,150,0;880,209,0;880,268,0;
880,148,0;880,207,0;880,266,0;
880,146,0;880,205,0;880,264,0;
880,144,0;880,203,0;880,262,0;
